Team,Issue Key,Issue Type,Summary,Status,Assignee,DoR Compliant,Feedback,Issue URL
PE-WAW-Abyss,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Radium,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Europium,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Copernicium,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Mouflons,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Wolves,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Polonium LF,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Polonium UF,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Bigos,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Capybaras,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
ML Serving,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
ML Platform,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
EP Core,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Zurek,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
Igni,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
SRE,N/A,N/A,No active issues found,N/A,N/A,N/A,No issues in "In Progress" or "Code Review" status,N/A
